"reasons__count","reasons__items__summary","reasons__items__type","reasons__items__reasonName","venue__id","venue__name","venue__location__address","venue__location__lat","venue__location__lng","venue__location__labeledLatLngs__label","venue__location__labeledLatLngs__lat","venue__location__labeledLatLngs__lng","venue__location__distance","venue__location__postalCode","venue__location__cc","venue__location__city","venue__location__state","venue__location__country","venue__location__formattedAddress__001","venue__location__formattedAddress__002","venue__location__formattedAddress__003","venue__categories__id","venue__categories__name","venue__categories__pluralName","venue__categories__shortName","venue__categories__icon__prefix","venue__categories__icon__suffix","venue__categories__primary","venue__photos__count","referralId","venue__location__crossStreet","venue__venuePage__id"
"0","This spot is popular","general","globalInteractionReason","4b38bd1ef964a520e44f25e3","Kikko Kaiten Sushi","Via dei Greci, 5","40.6997364","14.776266","display","40.6997364","14.776266","2039","84135","IT","Salerno","Campania","Italia","Via dei Greci, 5","84135 Salerno Campania","Italia","4bf58dd8d48988d111941735","Japanese Restaurant","Japanese Restaurants","Japanese","https://ss3.4sqi.net/img/categories_v2/food/japanese_",".png","True","0","e-0-4b38bd1ef964a520e44f25e3-21","",""
"0","This spot is popular","general","globalInteractionReason","4d44599e1911a0938a2ad7d8","Disclan","Piazza Portanova","40.67802232909199","14.762495238339428","display","40.67802232909199","14.762495238339428","687","84123","IT","Salerno","Campania","Italia","Piazza Portanova (Via Mercanti)","84123 Salerno Campania","Italia","4bf58dd8d48988d10d951735","Record Shop","Record Shops","Record Shop","https://ss3.4sqi.net/img/categories_v2/shops/record_shop_",".png","True","0","e-0-4d44599e1911a0938a2ad7d8-22","Via Mercanti",""
"0","This spot is popular","general","globalInteractionReason","4efa1c2af9ab2e6684548f69","Luci d'artista","","40.6786980816588","14.760631162384303","display","40.6786980816588","14.760631162384303","759","","IT","","","Italia","Italia","","","4bf58dd8d48988d1f2931735","Performing Arts Venue","Performing Arts Venues","Performing Arts","https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_",".png","True","0","e-0-4efa1c2af9ab2e6684548f69-23","",""
"0","This spot is popular","general","globalInteractionReason","51dc317d498e45fad4b90f8e","Stadio Vestuti","","40.67975943510401","14.770010920556338","display","40.67975943510401","14.770010920556338","343","","IT","","","Italia","Italia","","","4bf58dd8d48988d188941735","Soccer Stadium","Soccer Stadiums","Soccer","https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_",".png","True","0","e-0-51dc317d498e45fad4b90f8e-24","",""
"0","This spot is popular","general","globalInteractionReason","4c8be510cf3ea1438530f051","Dedicato a Mio Padre","Piazza S.Agostino","40.67845850780409","14.75908640074884","display","40.67845850780409","14.75908640074884","884","","IT","Salerno","Campania","Italia","Piazza S.Agostino","Salerno Campania","Italia","4bf58dd8d48988d1ce941735","Seafood Restaurant","Seafood Restaurants","Seafood","https://ss3.4sqi.net/img/categories_v2/food/seafood_",".png","True","0","e-0-4c8be510cf3ea1438530f051-25","",""
"0","This spot is popular","general","globalInteractionReason","4c12d87b7f7f2d7f231cde68","Via vai","Via Roma","40.67868318112673","14.75739727030815","display","40.67868318112673","14.75739727030815","999","84100","IT","Salerno","Campania","Italia","Via Roma","84100 Salerno Campania","Italia","4bf58dd8d48988d16c941735","Burger Joint","Burger Joints","Burgers","https://ss3.4sqi.net/img/categories_v2/food/burger_",".png","True","0","e-0-4c12d87b7f7f2d7f231cde68-26","",""
"0","This spot is popular","general","globalInteractionReason","52e647f5498e190155261538","Centro storico Salerno","Piazza Sedile Del Campo","40.678616910824516","14.75693933257401","display","40.678616910824516","14.75693933257401","1037","","IT","Salerno","Campania","Italia","Piazza Sedile Del Campo","Salerno Campania","Italia","4deefb944765f83613cdba6e","Historic Site","Historic Sites","Historic Site","https://ss3.4sqi.net/img/categories_v2/arts_entertainment/historicsite_",".png","True","0","e-0-52e647f5498e190155261538-27","",""
"0","This spot is popular","general","globalInteractionReason","4c608b64de6920a16d409664","Cercopiteco","Largo Dogana Regia, 14","40.67816921176694","14.760239841155512","display","40.67816921176694","14.760239841155512","820","","IT","Salerno","Campania","Italia","Largo Dogana Regia, 14 (Via Masuccio Salernitano)","Salerno Campania","Italia","4bf58dd8d48988d11e941735","Cocktail Bar","Cocktail Bars","Cocktail","https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_",".png","True","0","e-0-4c608b64de6920a16d409664-28","Via Masuccio Salernitano",""
"0","This spot is popular","general","globalInteractionReason","4c758c993adda143d0aa07af","Teatro Verdi","Via Roma, 254-260","40.679121309680745","14.751931574179546","display","40.679121309680745","14.751931574179546","1416","84121","IT","Salerno","Campania","Italia","Via Roma, 254-260","84121 Salerno Campania","Italia","4bf58dd8d48988d137941735","Theater","Theaters","Theater","https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_theater_",".png","True","0","e-0-4c758c993adda143d0aa07af-29","",""
"0","This spot is popular","general","globalInteractionReason","4cf6a27cdc40a35d63164954","Alhambra","Vico S. Bonosio","40.679083850432","14.760107008359924","display","40.679083850432","14.760107008359924","775","","IT","Salerno","Campania","Italia","Vico S. Bonosio (Via dei Mercanti)","Salerno Campania","Italia","4bf58dd8d48988d1dc931735","Tea Room","Tea Rooms","Tea Room","https://ss3.4sqi.net/img/categories_v2/food/tearoom_",".png","True","0","e-0-4cf6a27cdc40a35d63164954-30","Via dei Mercanti",""
